N0,dt,rmse_rel
2000,0.5,0.000665371248910209
2000,1.0,0.0020432583908064736
2000,2.0,0.000652886062904178
2000,5.0,0.0012738049341905762
10000,0.5,0.001217378354524606
10000,1.0,0.0010862719097617097
10000,2.0,0.000282474092321224
10000,5.0,0.0004123684036726479
50000,0.5,0.00040723346805315007
50000,1.0,0.0002522007565683217
50000,2.0,0.0001423321931974519
50000,5.0,0.0003697704884969009
