engine,N0,seconds
binomial,2000,0.0037331580024329014
binomial,10000,0.0035137269987899344
binomial,50000,0.003487967002001824
per_nucleus,2000,0.008460335000563646
per_nucleus,10000,0.018334363001486054
per_nucleus,50000,0.07146802600254887
numba,2000,3.0703148510001483
numba,10000,0.01816231799966772
numba,50000,0.0839967859974422
